Semilla,Llegada,Atencion,Clientes,LlegadaPromedio,AtenciónPromedio,EsperaPromedio,NumCola,ServidorUso,TiempoTotal,Wq_teorico,Lq_teorico,Uso_teorico,Error_Wq,Error_Lq,Error_Uso
1,8,5,1000,8.0050,4.8880,8.0150,1.0010,0.6080,8006.9750,8.3333,1.0417,0.6250,0.3183,0.0407,0.0170
1,8,7,1000,8.5810,6.3390,16.3460,1.9040,0.7350,8584.8100,49.0000,6.1250,0.8750,32.6540,4.2210,0.1400
1,10,5,1000,10.2770,4.7530,4.3000,0.4180,0.4600,10279.1590,5.0000,0.5000,0.5000,0.7000,0.0820,0.0400
1,10,7,1000,10.0530,6.8100,16.0180,1.5930,0.6740,10056.5960,16.3333,1.6333,0.7000,0.3153,0.0403,0.0260
1,20,5,1000,20.2490,4.8290,1.7530,0.0870,0.2370,20249.9650,1.6667,0.0833,0.2500,0.0863,0.0037,0.0130
1,20,7,1000,20.0570,6.8270,3.8500,0.1920,0.3390,20060.0140,3.7692,0.1885,0.3500,0.0808,0.0035,0.0110
